seed,method,minU,gap,pidist,pirms,spear,topk,ndcg,mse,auc,time
18,SGHMC,355.97078892571255,19.749310044370645,5.451382758262124,0.17238785913479399,0.18836081636081636,0.6169064748201439,0.6430122639087493,2.390158592658231,0.5913863503791562,0.2993035316467285
18,AWSGLD,337.2222184477971,1.000739566455195,0.30787951054757234,0.00973600498228163,0.8447669207669208,0.8633093525179856,0.8871470700301521,2.1725481365401755,0.9437909132153737,0.706507682800293
19,SGLD,610.1542618364642,294.9454480118424,7.9811465360326235,0.25238601393426213,0.013244893244893245,0.5488029465930019,0.5488323403852607,2.9955513112419916,0.5079205806142228,0.29760265350341797
19,qSGLD,316.90427215627193,1.6954583316501157,0.41041001303340635,0.012978304157249543,0.8466616866616868,0.8692449355432781,0.8897967176262414,2.236319929591463,0.9403185963385196,0.513638973236084
19,cycSGLD,320.94642919349224,5.737615368870422,3.598706367266075,0.1138010875071121,0.7416773976773977,0.8250460405156538,0.8413622176232151,2.0255345893452597,0.8880641222481472,0.29924678802490234
19,SGHMC,333.6944655046054,18.48565167998356,5.197247234916225,0.16435138825347462,0.2271509271509272,0.6353591160220995,0.6547144872163255,2.3032957938834473,0.6292902305451117,0.2984280586242676
19,AWSGLD,316.22471299220075,1.0158991675789366,0.30998679406621304,0.009802643138228016,0.8483776043776045,0.861878453038674,0.8844539326032637,2.238271512130768,0.9426196146701,0.686586856842041
20,SGLD,596.5630237809135,292.7351536502173,8.153704301113617,0.25784276959030417,0.03224187224187224,0.5665467625899281,0.5580290321302004,3.0992396803163684,0.5145019119839264,0.29830360412597656
20,qSGLD,305.44622967034115,1.6183595396449846,0.3894120326236226,0.012314289713664418,0.8423776943776944,0.8758992805755396,0.8993452576421682,2.2069841718956065,0.9496564910233976,0.5438563823699951
20,cycSGLD,309.8663173241927,6.038447193496552,3.776074767125869,0.11940996879207652,0.7847791247791248,0.8723021582733813,0.8897844876149249,2.1409732864459707,0.9168205975759933,0.29926180839538574
20,SGHMC,323.0552667315078,19.22739660081163,5.428632835760483,0.17166844341781895,0.22855701655701657,0.6151079136690647,0.6516702920917211,2.423547445610484,0.6154076738609112,0.3011012077331543
20,AWSGLD,304.8372838084962,1.009413677800012,0.30869738634547744,0.009761868485926705,0.8524765204765206,0.8741007194244604,0.8977425258269689,2.197977156757657,0.9528890401192559,0.7201962471008301
21,SGLD,605.7457547809698,293.30492892479316,8.116496200693291,0.25666614614293926,0.04197883797883798,0.5698729582577132,0.5709933435762927,2.9116429656368465,0.537694170146201,0.2938101291656494
21,qSGLD,314.13842478539385,1.697598929217179,0.3993025483176035,0.012627055281930625,0.8417180057180057,0.8566243194192378,0.8794464190921544,2.1816235838585434,0.9390054123096698,0.5066795349121094
21,cycSGLD,318.27605266615734,5.835226809980668,3.791079397127246,0.11988445685460097,0.8317885117885118,0.8638838475499092,0.8822452271649205,1.8105436943851747,0.9385405761543094,0.2951371669769287
21,SGHMC,330.31827394466893,17.877448088492258,5.312728083287842,0.16800321332330315,0.5907148947148947,0.7731397459165155,0.7904675137906518,2.0743553414497766,0.8197688753794476,0.2976832389831543
21,AWSGLD,313.4414616441481,1.0006357879714187,0.30966646828537336,0.00979251354762076,0.8528554208554208,0.8584392014519057,0.8813845362117693,2.1692059224827256,0.9403918366687013,0.692934513092041
22,SGLD,624.1650713280753,288.60643832853964,7.97542561546959,0.2522051025413413,0.13689799689799692,0.6153846153846154,0.6320680986291585,2.6982721896478834,0.579304457225018,0.29599547386169434
22,qSGLD,337.2400100054785,1.6813770059428066,0.39726680401653386,0.01256267939467975,0.8446472326472327,0.8531468531468531,0.8789273170159234,2.0185283968353898,0.934264917325665,0.5034022331237793
22,cycSGLD,341.24583189788615,5.687198898350459,3.626734827946251,0.11468742525769039,0.8230864150864151,0.8688811188811189,0.886813497381735,1.7986638206727767,0.928734233056663,0.29796409606933594
22,SGHMC,353.480398599002,17.921765599466312,5.210398664505231,0.1647672729733605,0.6225106785106785,0.7867132867132867,0.8105037500968776,2.0381934762499974,0.8225116005489836,0.2987515926361084
22,AWSGLD,336.5696016633527,1.0109686638170388,0.3108607429833535,0.00983027982959603,0.8452092652092652,0.8496503496503497,0.8759066183342817,2.040381048210822,0.9332314881380303,0.6808650493621826
23,SGLD,626.3997913959402,287.67076672513235,7.740965280418403,0.2447908157440617,0.16862570462570461,0.6161971830985915,0.6260667136586124,2.5549608731636697,0.5738295513823684,0.29692602157592773
23,qSGLD,340.40580194439354,1.676777273585742,0.4023698272204664,0.012724051157450914,0.8731270891270891,0.8609154929577465,0.8856944999481967,1.8503556060405495,0.9452024647887325,0.5412631034851074
23,cycSGLD,343.95009243536697,5.221067764559166,3.409813010173395,0.10782775507422823,0.8554538914538915,0.8661971830985915,0.8865666435560731,1.58974854957966,0.9364404016692749,0.29648900032043457
