seed,method,minU,gap,pidist,pirms,topk,ndcg,auc,time
18,SGHMC,39.17827508065246,6.24282492542082,1.6353596809403388,0.18758862067262783,0.46153846153846156,0.5508422467021428,0.5853846153846154,0.04189419746398926
18,AWSGLD,33.96285354254644,1.0274033873147985,0.41142264791279914,0.047193414350942285,0.6153846153846154,0.6921405599652598,0.8215384615384616,0.07130646705627441
19,SGLD,59.27430632563417,26.54201953201754,2.3182200870635272,0.26591808127357836,0.46153846153846156,0.5303652770340398,0.5592307692307692,0.04108905792236328
19,qSGLD,33.849103225908706,1.116816432292076,0.4509938758321452,0.0517325454975803,0.7307692307692307,0.8019402036557435,0.8623076923076923,0.04393172264099121
19,cycSGLD,34.92801545290714,2.195728659290509,1.043943318174861,0.11974851122917753,0.5384615384615384,0.6576848147980986,0.6946153846153846,0.04143071174621582
19,SGHMC,39.114817673662145,6.382530880045515,1.6623119280872136,0.19068025545195832,0.4230769230769231,0.5292359775649368,0.5738461538461539,0.04180335998535156
19,AWSGLD,33.74397716692202,1.0116903733053917,0.44444919184169457,0.050981818757270224,0.6538461538461539,0.7469304230111179,0.8507692307692308,0.07161855697631836
20,SGLD,60.97849863855522,27.860864951324587,2.3591129690257695,0.2706088165363034,0.46153846153846156,0.5314533327239555,0.5615384615384615,0.04060506820678711
20,qSGLD,34.27115840147675,1.1535247142461102,0.42154183218713126,0.04835416439417596,0.6923076923076923,0.7617598268483898,0.8361538461538461,0.04326057434082031
20,cycSGLD,35.26067340863346,2.143039721402822,1.1288930057454905,0.129492908687223,0.5384615384615384,0.6592831672258652,0.6507692307692308,0.040914058685302734
20,SGHMC,39.37378319025245,6.256149503021817,1.6581946786527437,0.19020797455168978,0.34615384615384615,0.468781243878758,0.5538461538461539,0.041455745697021484
20,AWSGLD,34.1193439858989,1.0017102986682644,0.3682685829091862,0.04224330360479138,0.7692307692307693,0.8047260087151143,0.8376923076923076,0.07265758514404297
21,SGLD,58.69134682306044,26.011251405289208,2.241718471203863,0.257142744101214,0.46153846153846156,0.5339993538238904,0.5499999999999999,0.04072833061218262
21,qSGLD,33.800759832691575,1.1206644149203413,0.46492436377152513,0.053330482054474236,0.6923076923076923,0.7696188275922649,0.8400000000000001,0.04331183433532715
21,cycSGLD,34.95450902417801,2.2744136064067746,1.04109440460794,0.11942171843083307,0.5384615384615384,0.6539569139046587,0.6923076923076923,0.04114723205566406
21,SGHMC,39.0382790728395,6.358183655068267,1.6603065118416358,0.1904502184321107,0.38461538461538464,0.49155120545526304,0.55,0.04168415069580078
21,AWSGLD,33.68329257067693,1.0031971529056989,0.44481937474731253,0.051024281648749566,0.6923076923076923,0.7581916857123643,0.8446153846153845,0.07118749618530273
22,SGLD,57.29481649347478,24.666426786024907,2.1683607043712323,0.24872803114470723,0.46153846153846156,0.5375902625209249,0.5538461538461539,0.040532588958740234
22,qSGLD,33.784307104849184,1.155917397399314,0.4349722201850621,0.049894735553531806,0.6923076923076923,0.7637268577535239,0.82,0.043493032455444336
22,cycSGLD,34.81942485475019,2.191035147300319,1.1849074657611225,0.1359182079131477,0.5,0.625140851624406,0.5923076923076923,0.04108428955078125
