#truth,53,n,100,mu,1.0,alpha,0.4,zeta,1.0
seed,method,rmed,rq95,rmax,ess,thS,thW,thN,piS,piW,piN,lowU,spearman,kendall,topk,ndcg,mse,auc,sigma_raw,cov90,jaccard,P0.05,R0.05,F0.05,rFDR0.05,nsel0.05,P0.1,R0.1,F0.1,rFDR0.1,nsel0.1,P0.15,R0.15,F0.15,rFDR0.15,nsel0.15,P0.2,R0.2,F0.2,rFDR0.2,nsel0.2,P0.3,R0.3,F0.3,rFDR0.3,nsel0.3
3,acMH,1.2112932205717066,1.619289097494675,1.69966820578851,12.759271854245211,2.2998215746749375,1.1777848358184348,1.7255150031297573,0.8905606471267304,0.7398584002636562,0.820219133623456,146.7352312564006,0.2873087308730873,0.18828282828282833,0.6779661016949152,0.7228945698564333,3.7608167685706904,0.6324927656056222,2.763014103689736,0.92,0.5339146748125947,0.7142857142857143,0.2542372881355932,0.375,0.2857142857142857,21,0.676923076923077,0.7457627118644068,0.7096774193548386,0.3230769230769231,65,0.6043956043956044,0.9322033898305084,0.7333333333333333,0.3956043956043956,91,0.59,1.0,0.7421383647798743,0.41,100,0.59,1.0,0.7421383647798743,0.41,100
4,SGLD,5.040012589872006,9.994621337032637,12.716227014444533,4.34545993411259,0.2520878100029882,0.0802025408849258,0.07082983143436983,0.5585393547481471,0.5201790052202108,0.5151315463684407,159.15909189289948,0.08394839483948394,0.05494949494949496,0.6,0.5741158670487598,1.0835610803445828,0.6076,1.1388848785221852,0.85,0.3189443715759505,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.5,0.02,0.038461538461538464,0.5,2,0.5357142857142857,0.3,0.38461538461538464,0.4642857142857143,28
4,qSGLD,1.815310570021611,3.007194918290949,3.4654190630968404,7.1909515439588265,1.2598780535563958,1.0633164097629875,0.049340758484422334,0.7624728014228306,0.723908519275248,0.5089098753573212,141.8902760808121,0.5306690669066906,0.3644444444444445,0.7,0.7382177023771883,1.2399410190994977,0.7816,1.5382324296881764,0.95,0.4578068495750447,1.0,0.02,0.0392156862745098,0.0,1,0.8,0.08,0.14545454545454545,0.2,5,0.75,0.48,0.5853658536585366,0.25,32,0.6964285714285714,0.78,0.7358490566037736,0.30357142857142855,56,0.5376344086021505,1.0,0.6993006993006993,0.46236559139784944,93
4,cycSGLD,1.0085263184205462,1.0230314712721826,1.0278426075779503,207.55285255672192,1.0315183638055019,1.0130285150392235,0.9382212896116222,0.7361734552198873,0.7316801725552301,0.7166274617884696,62.5501935522289,0.14537053705370537,0.09737373737373739,0.56,0.5363065639322819,1.5432769955464536,0.5612000000000001,0.04877746370473851,0.06,0.9607843137254902,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.5,0.06,0.10714285714285712,0.5,6,0.5,1.0,0.6666666666666666,0.5,100
4,SGHMC,2.233285246977207,4.361138796212622,5.629950001564666,4.850482852460388,0.4443941528978275,0.3502335639855368,-0.19469904939279842,0.5992496326511002,0.5817550454611655,0.45594537608351227,127.19144265926573,0.3222082208220822,0.21373737373737375,0.62,0.6869015748377598,0.8965417040255417,0.6940000000000001,1.0754833240366657,0.91,0.39902729691462085,1.0,0.02,0.0392156862745098,0.0,1,1.0,0.02,0.0392156862745098,0.0,1,1.0,0.02,0.0392156862745098,0.0,1,1.0,0.16,0.2758620689655173,0.0,8,0.6363636363636364,0.56,0.5957446808510639,0.36363636363636365,44
4,AWSGLD,1.69369007281854,2.6254114319521182,2.89616843657023,7.678001677783817,1.5789643537656297,1.1738929910899323,0.44113545791717984,0.8176720075956138,0.7488271794122356,0.6027291669701766,147.12820730590119,0.6144014401440143,0.42787878787878797,0.76,0.7844311385306888,1.5050907976937404,0.8039999999999999,1.7113597765751734,0.98,0.4495205222113361,1.0,0.02,0.0392156862745098,0.0,1,0.9090909090909091,0.2,0.32786885245901637,0.09090909090909091,11,0.7142857142857143,0.6,0.6521739130434783,0.2857142857142857,42,0.6571428571428571,0.92,0.7666666666666667,0.34285714285714286,70,0.5,1.0,0.6666666666666666,0.5,100
4,acMH,1.1585699708589299,1.4089736246884053,1.5768746953916966,10.244293347637399,2.04548276091554,1.8211114430311202,0.4543882664660185,0.8760556385482832,0.8378041794922467,0.603446649562244,146.2996148788386,0.6173657365736573,0.41656565656565664,0.72,0.6777355448409135,2.5107180404755898,0.7856,2.2214702712033776,0.95,0.566008570640583,0.6666666666666666,0.08,0.14285714285714285,0.3333333333333333,6,0.72,0.72,0.72,0.28,50,0.6447368421052632,0.98,0.7777777777777777,0.35526315789473684,76,0.5319148936170213,1.0,0.6944444444444444,0.46808510638297873,94,0.5,1.0,0.6666666666666666,0.5,100
5,SGLD,5.015126516070467,9.74960119416533,13.018212550515898,5.501936570288658,0.14713010066691123,-0.24437488312105324,-0.1480281084506712,0.529886666560657,0.4448319505012548,0.4648712435907477,151.37550669596482,0.13334533453345332,0.0888888888888889,0.5660377358490566,0.6451201115479952,1.3116791792282338,0.5905258932155761,1.0676882417950304,0.77,0.37701057325974047,1.0,0.018867924528301886,0.037037037037037035,0.0,1,1.0,0.018867924528301886,0.037037037037037035,0.0,1,1.0,0.03773584905660377,0.07272727272727272,0.0,2,1.0,0.1509433962264151,0.26229508196721313,0.0,8,0.72,0.33962264150943394,0.4615384615384615,0.28,25
5,qSGLD,1.6517337101303107,2.584152644709992,3.2160794912912403,6.303497734410094,2.111151222314092,0.2820890723477369,0.02027109546920575,0.8762469164137335,0.5579468546702147,0.49974436625601265,141.18197975117792,0.6827722772277227,0.46707070707070714,0.7924528301886793,0.8445036991180414,1.4982405487529993,0.8506623845845043,1.6299326044400912,0.97,0.5756643851714275,1.0,0.18867924528301888,0.3174603174603175,0.0,10,0.967741935483871,0.5660377358490566,0.7142857142857144,0.03225806451612903,31,0.8076923076923077,0.7924528301886793,0.7999999999999999,0.19230769230769232,52,0.6818181818181818,0.8490566037735849,0.7563025210084033,0.3181818181818182,66,0.5777777777777777,0.9811320754716981,0.7272727272727272,0.4222222222222222,90
5,cycSGLD,1.0072387678489965,1.015751190629783,1.0186186538593018,125.84606549039535,1.0484880815441564,0.9592966903957383,0.9804098677535099,0.7386769606073956,0.721510176491814,0.724955651198914,62.564542573694006,0.1564956495649565,0.10666666666666667,0.6037735849056604,0.6031795501310024,1.7817725371504614,0.5921316740264954,0.044919010414509686,0.04,0.9753086419753085,1.0,0.018867924528301886,0.037037037037037035,0.0,1,1.0,0.018867924528301886,0.037037037037037035,0.0,1,1.0,0.018867924528301886,0.037037037037037035,0.0,1,0.6,0.11320754716981132,0.1904761904761905,0.4,10,0.53,1.0,0.6928104575163399,0.47,100
5,SGHMC,2.404077982242018,3.933767315983192,4.7674812517229554,5.462613280941943,0.7476603020389959,-0.1717002841984389,-0.26927744100492423,0.6643069031949895,0.46035359506972057,0.4367686252171254,117.97153112289413,0.5069066906690668,0.3313131313131314,0.6981132075471698,0.7605807551624663,0.8384372172800585,0.7739863508631073,1.1086699527678543,0.96,0.42758435901422837,1.0,0.018867924528301886,0.037037037037037035,0.0,1,1.0,0.018867924528301886,0.037037037037037035,0.0,1,1.0,0.11320754716981132,0.2033898305084746,0.0,6,0.875,0.2641509433962264,0.4057971014492754,0.125,16,0.7142857142857143,0.5660377358490566,0.631578947368421,0.2857142857142857,42
5,AWSGLD,1.4757896079163455,2.0274502294783816,2.7265146048856446,6.678801192219154,2.1294791495296566,0.43173598087918874,-0.020680177283993264,0.8661687246976258,0.5826177274300398,0.48535731102262414,150.15334865089255,0.652133213321332,0.450909090909091,0.7924528301886793,0.8259976303415215,1.8452454159575837,0.8181453231633883,1.8186904418626293,0.98,0.5368166153230823,0.9375,0.2830188679245283,0.4347826086956522,0.0625,16,0.8571428571428571,0.5660377358490566,0.6818181818181818,0.14285714285714285,35,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.20754716981132076,53,0.6865671641791045,0.8679245283018868,0.7666666666666666,0.31343283582089554,67,0.5666666666666667,0.9622641509433962,0.7132867132867132,0.43333333333333335,90
5,acMH,1.1378320328199698,1.2817928378357293,1.3842310457147242,13.910357050070171,1.9665100034011775,0.9202662035851371,0.3599428329875413,0.870165010409855,0.7091845074464509,0.5852990507101441,101.13795208651354,0.8055445544554455,0.5870707070707071,0.8301886792452831,0.8798286807849147,1.4454551219903056,0.9169008430349258,1.370612635459496,0.97,0.7204977221106255,1.0,0.018867924528301886,0.037037037037037035,0.0,1,1.0,0.41509433962264153,0.5866666666666668,0.0,22,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.14285714285714285,49,0.6805555555555556,0.9245283018867925,0.784,0.3194444444444444,72,0.53,1.0,0.6928104575163399,0.47,100
